category_name,positionLevels,required_qualification,skills
Logistics / Supply Chain,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Inventory control, Warehouse management, Supply chain optimization, Logistics software, Shipping/Receiving coordination."
Accounting / Auditing / Taxation,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Financial reporting, GAAP/IFRS, Tax preparation, Microsoft Excel, Auditing, Analytical thinking, Attention to detail."
Information Technology,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Accounting / Auditing / Taxation,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Financial reporting, GAAP/IFRS, Tax preparation, Microsoft Excel, Auditing, Analytical thinking, Attention to detail."
General Management,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Engineering,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Technical analysis, Problem-solving, CAD/CAM software, Project management, Technical documentation, Quality assurance."
Information Technology,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Human Resources,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Recruitment, Payroll administration, Employee relations, Labor law knowledge, HRIS (e.g., Workday, SAP), Talent management."
Marketing / Public Relations,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Social media management, Digital marketing (SEO/SEM), Content creation, Market research, Communication, Branding, Analytics."
F&B,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Culinary skills, Customer service, Food safety & hygiene standards, Team coordination, Inventory management."
Sciences / Laboratory / R&D,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Engineering,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Technical analysis, Problem-solving, CAD/CAM software, Project management, Technical documentation, Quality assurance."
Customer Service,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
F&B,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Culinary skills, Customer service, Food safety & hygiene standards, Team coordination, Inventory management."
Healthcare / Pharmaceutical,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Patient care, Clinical knowledge, Medical record keeping, Communication, Empathy, Compliance with health regulations."
Customer Service,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Marketing / Public Relations,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Social media management, Digital marketing (SEO/SEM), Content creation, Market research, Communication, Branding, Analytics."
Engineering,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Technical analysis, Problem-solving, CAD/CAM software, Project management, Technical documentation, Quality assurance."
Customer Service,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Human Resources,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Recruitment, Payroll administration, Employee relations, Labor law knowledge, HRIS (e.g., Workday, SAP), Talent management."
F&B,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Culinary skills, Customer service, Food safety & hygiene standards, Team coordination, Inventory management."
Building and Construction,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Project coordination, Site supervision, Safety compliance (OSHA), Technical drawing interpretation, Budgeting, Vendor management."
F&B,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Culinary skills, Customer service, Food safety & hygiene standards, Team coordination, Inventory management."
General Management,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Information Technology,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Information Technology,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Human Resources,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Recruitment, Payroll administration, Employee relations, Labor law knowledge, HRIS (e.g., Workday, SAP), Talent management."
Customer Service,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Building and Construction,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Project coordination, Site supervision, Safety compliance (OSHA), Technical drawing interpretation, Budgeting, Vendor management."
Logistics / Supply Chain,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Inventory control, Warehouse management, Supply chain optimization, Logistics software, Shipping/Receiving coordination."
Admin / Secretarial,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Office administration, Microsoft Office Suite, Scheduling, Verbal & Written Communication, Organization, Multi-tasking."
Engineering,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Technical analysis, Problem-solving, CAD/CAM software, Project management, Technical documentation, Quality assurance."
Logistics / Supply Chain,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Inventory control, Warehouse management, Supply chain optimization, Logistics software, Shipping/Receiving coordination."
Marketing / Public Relations,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Social media management, Digital marketing (SEO/SEM), Content creation, Market research, Communication, Branding, Analytics."
Admin / Secretarial,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Office administration, Microsoft Office Suite, Scheduling, Verbal & Written Communication, Organization, Multi-tasking."
Accounting / Auditing / Taxation,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Financial reporting, GAAP/IFRS, Tax preparation, Microsoft Excel, Auditing, Analytical thinking, Attention to detail."
Banking and Finance,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Human Resources,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Recruitment, Payroll administration, Employee relations, Labor law knowledge, HRIS (e.g., Workday, SAP), Talent management."
General Work,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Accounting / Auditing / Taxation,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Financial reporting, GAAP/IFRS, Tax preparation, Microsoft Excel, Auditing, Analytical thinking, Attention to detail."
Banking and Finance,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Personal Care / Beauty,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Architecture / Interior Design,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
F&B,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Culinary skills, Customer service, Food safety & hygiene standards, Team coordination, Inventory management."
Others,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Personal Care / Beauty,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Marketing / Public Relations,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Social media management, Digital marketing (SEO/SEM), Content creation, Market research, Communication, Branding, Analytics."
Engineering,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Technical analysis, Problem-solving, CAD/CAM software, Project management, Technical documentation, Quality assurance."
Logistics / Supply Chain,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Inventory control, Warehouse management, Supply chain optimization, Logistics software, Shipping/Receiving coordination."
Repair and Maintenance,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Personal Care / Beauty,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Consulting,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Others,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Consulting,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Sales / Retail,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Negotiation, Customer service, Client relationship management (CRM), Product knowledge, Persuasion, Sales forecasting."
Information Technology,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Sales / Retail,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Negotiation, Customer service, Client relationship management (CRM), Product knowledge, Persuasion, Sales forecasting."
Purchasing / Merchandising,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
General Work,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Healthcare / Pharmaceutical,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Patient care, Clinical knowledge, Medical record keeping, Communication, Empathy, Compliance with health regulations."
Admin / Secretarial,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Office administration, Microsoft Office Suite, Scheduling, Verbal & Written Communication, Organization, Multi-tasking."
Building and Construction,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Project coordination, Site supervision, Safety compliance (OSHA), Technical drawing interpretation, Budgeting, Vendor management."
Sales / Retail,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Negotiation, Customer service, Client relationship management (CRM), Product knowledge, Persuasion, Sales forecasting."
F&B,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Culinary skills, Customer service, Food safety & hygiene standards, Team coordination, Inventory management."
Education and Training,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Curriculum development, Classroom management, Instructional skills, Student assessment, Communication, Subject matter expertise."
Security and Investigation,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Marketing / Public Relations,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Social media management, Digital marketing (SEO/SEM), Content creation, Market research, Communication, Branding, Analytics."
Sales / Retail,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Negotiation, Customer service, Client relationship management (CRM), Product knowledge, Persuasion, Sales forecasting."
Accounting / Auditing / Taxation,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Financial reporting, GAAP/IFRS, Tax preparation, Microsoft Excel, Auditing, Analytical thinking, Attention to detail."
Healthcare / Pharmaceutical,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Patient care, Clinical knowledge, Medical record keeping, Communication, Empathy, Compliance with health regulations."
Building and Construction,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Project coordination, Site supervision, Safety compliance (OSHA), Technical drawing interpretation, Budgeting, Vendor management."
Healthcare / Pharmaceutical,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Patient care, Clinical knowledge, Medical record keeping, Communication, Empathy, Compliance with health regulations."
Manufacturing,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Production planning, Lean manufacturing, Six Sigma, Quality control, Equipment maintenance, Safety protocols."
Wholesale Trade,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Customer Service,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
General Management,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Customer Service,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Hospitality,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Telecommunications,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Education and Training,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Curriculum development, Classroom management, Instructional skills, Student assessment, Communication, Subject matter expertise."
Consulting,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Social Services,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Others,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Others,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Marketing / Public Relations,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Social media management, Digital marketing (SEO/SEM), Content creation, Market research, Communication, Branding, Analytics."
Personal Care / Beauty,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Engineering,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Technical analysis, Problem-solving, CAD/CAM software, Project management, Technical documentation, Quality assurance."
Advertising / Media,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Architecture / Interior Design,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Information Technology,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Legal,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Banking and Finance,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Legal,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Advertising / Media,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Consulting,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Design,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Events / Promotions,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
General Management,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Legal,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Others,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
General Management,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Healthcare / Pharmaceutical,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Patient care, Clinical knowledge, Medical record keeping, Communication, Empathy, Compliance with health regulations."
Advertising / Media,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Banking and Finance,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Events / Promotions,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Legal,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Banking and Finance,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Education and Training,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Curriculum development, Classroom management, Instructional skills, Student assessment, Communication, Subject matter expertise."
Personal Care / Beauty,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Logistics / Supply Chain,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Inventory control, Warehouse management, Supply chain optimization, Logistics software, Shipping/Receiving coordination."
Manufacturing,Middle Management,"Bachelor's or Master's Degree, Leadership training, 8-10 years experience.","Production planning, Lean manufacturing, Six Sigma, Quality control, Equipment maintenance, Safety protocols."
Professional Services,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Medical / Therapy Services,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Architecture / Interior Design,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Manufacturing,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Production planning, Lean manufacturing, Six Sigma, Quality control, Equipment maintenance, Safety protocols."
Consulting,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Repair and Maintenance,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Manufacturing,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Production planning, Lean manufacturing, Six Sigma, Quality control, Equipment maintenance, Safety protocols."
Architecture / Interior Design,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Real Estate / Property Management,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Consulting,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Logistics / Supply Chain,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Inventory control, Warehouse management, Supply chain optimization, Logistics software, Shipping/Receiving coordination."
Sciences / Laboratory / R&D,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Manufacturing,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Production planning, Lean manufacturing, Six Sigma, Quality control, Equipment maintenance, Safety protocols."
General Management,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Human Resources,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Recruitment, Payroll administration, Employee relations, Labor law knowledge, HRIS (e.g., Workday, SAP), Talent management."
Others,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
F&B,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Culinary skills, Customer service, Food safety & hygiene standards, Team coordination, Inventory management."
Education and Training,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Curriculum development, Classroom management, Instructional skills, Student assessment, Communication, Subject matter expertise."
Manufacturing,Senior Executive,"Bachelor's Degree in related field, Professional Certification often required, 5+ years experience.","Production planning, Lean manufacturing, Six Sigma, Quality control, Equipment maintenance, Safety protocols."
Wholesale Trade,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Manufacturing,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Production planning, Lean manufacturing, Six Sigma, Quality control, Equipment maintenance, Safety protocols."
Design,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Banking and Finance,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Repair and Maintenance,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
General Management,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Hospitality,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Building and Construction,Senior Management,"Master's Degree or MBA, Executive leadership experience, 12+ years experience.","Project coordination, Site supervision, Safety compliance (OSHA), Technical drawing interpretation, Budgeting, Vendor management."
Education and Training,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Curriculum development, Classroom management, Instructional skills, Student assessment, Communication, Subject matter expertise."
Architecture / Interior Design,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Programming languages (Java, Python, C++, SQL), Software Development Life Cycle (SDLC), Cloud computing (AWS/Azure), Cybersecurity, Troubleshooting."
Legal,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Purchasing / Merchandising,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
General Work,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Medical / Therapy Services,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Insurance,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
